Date,Open,High,Low,Close,Adj Close,Volume
2015-08-17,29.010000,29.412500,28.875000,29.290001,26.855131,163538800
2015-08-18,29.107500,29.360001,29.002501,29.125000,26.703844,138242800
2015-08-19,29.025000,29.129999,28.670000,28.752501,26.362310,193146000
2015-08-20,28.520000,28.587500,27.907499,28.162500,25.821356,274006400
2015-08-21,27.607500,27.975000,26.412500,26.440001,24.242050,513102000
2015-08-24,23.717501,27.200001,23.000000,25.780001,23.636915,648825200
2015-08-25,27.777500,27.777500,25.875000,25.934999,23.779026,414406400
2015-08-26,26.772499,27.472500,26.262501,27.422501,25.142879,387098400
2015-08-27,28.057501,28.309999,27.504999,28.230000,25.883247,338464400
2015-08-28,28.042500,28.327499,27.885000,28.322500,25.968054,212657600
2015-08-31,28.007500,28.632500,28.000000,28.190001,25.846569,224917200
2015-09-01,27.537500,27.969999,26.840000,26.930000,24.691315,307383600
2015-09-02,27.557501,28.084999,27.282499,28.084999,25.750305,247555200
2015-09-03,28.122499,28.195000,27.510000,27.592501,25.298742,212935600
2015-09-04,27.242500,27.612499,27.127501,27.317499,25.046598,199985200
2015-09-08,27.937500,28.139999,27.580000,28.077499,25.743425,219374400
2015-09-09,28.440001,28.504999,27.442499,27.537500,25.248316,340043200
2015-09-10,27.567499,28.320000,27.475000,28.142500,25.803024,251571200
2015-09-11,27.947500,28.552500,27.940001,28.552500,26.178934,199662000
2015-09-14,29.145000,29.222500,28.715000,28.827499,26.431074,233453600
2015-09-15,28.982500,29.132500,28.605000,29.070000,26.653416,173364800
2015-09-16,29.062500,29.135000,28.860001,29.102501,26.683218,148694000
2015-09-17,28.915001,29.122499,28.430000,28.480000,26.112467,256450400
2015-09-18,28.052500,28.575001,27.967501,28.362499,26.004734,297141200
2015-09-21,28.417500,28.842501,28.415001,28.802500,26.408155,200888000
2015-09-22,28.344999,28.545000,28.129999,28.350000,25.993265,201384800
2015-09-23,28.407499,28.680000,28.325001,28.580000,26.204147,143026800
2015-09-24,28.312500,28.875000,28.092501,28.750000,26.360020,200878000
2015-09-25,29.110001,29.172501,28.504999,28.677500,26.293547,224607600
2015-09-28,28.462500,28.642500,28.110001,28.110001,25.773224,208436000
2015-09-29,28.207500,28.377501,26.965000,27.264999,24.998465,293461600
2015-09-30,27.542500,27.885000,27.182501,27.575001,25.282696,265892000
2015-10-01,27.267500,27.405001,26.827499,27.395000,25.117664,255716400
2015-10-02,27.002501,27.752501,26.887501,27.594999,25.301037,232079200
2015-10-05,27.469999,27.842501,27.267500,27.695000,25.392725,208258800
2015-10-06,27.657499,27.934999,27.442499,27.827499,25.514208,192787200
2015-10-07,27.934999,27.942499,27.352501,27.695000,25.392725,187062400
2015-10-08,27.547501,27.547501,27.052500,27.375000,25.099323,247918400
2015-10-09,27.500000,28.070000,27.372499,28.030001,25.699871,211064400
2015-10-12,28.182501,28.187500,27.860001,27.900000,25.580679,121868800
2015-10-13,27.705000,28.112499,27.670000,27.947500,25.624231,132197200
2015-10-14,27.822500,27.879999,27.389999,27.552500,25.262072,177849600
2015-10-15,27.732500,28.025000,27.622499,27.965000,25.640278,150694000
2015-10-16,27.945000,28.000000,27.632500,27.760000,25.452316,156930400
2015-10-19,27.700001,27.937500,27.527500,27.932501,25.610477,119036800
2015-10-20,27.834999,28.542500,27.705000,28.442499,26.078079,195871200
2015-10-21,28.500000,28.895000,28.424999,28.440001,26.075790,167180800
2015-10-22,28.582500,28.875000,28.525000,28.875000,26.474627,166616400
2015-10-23,29.174999,29.807501,29.082500,29.770000,27.295229,237467600
2015-10-26,29.520000,29.532499,28.730000,28.820000,26.424200,265335200
2015-10-27,28.850000,29.135000,28.497499,28.637501,26.256874,279537600
2015-10-28,29.232500,29.825001,29.014999,29.817499,27.338778,342205600
2015-10-29,29.674999,30.172501,29.567499,30.132500,27.627588,204909200
2015-10-30,30.247499,30.305000,29.862499,29.875000,27.391500,197461200
2015-11-02,30.200001,30.340000,29.902500,30.295000,27.776587,128813200
2015-11-03,30.197500,30.872499,30.174999,30.642500,28.095196,182076000
2015-11-04,30.782499,30.955000,30.405001,30.500000,27.964540,179544400
2015-11-05,30.462500,30.672501,30.045000,30.230000,27.835634,158210800
2015-11-06,30.277500,30.452499,30.155001,30.264999,27.867861,132169200
2015-11-09,30.240000,30.452499,30.012501,30.142500,27.755060,135485600
2015-11-10,29.225000,29.517500,29.014999,29.192499,26.880308,236511600
2015-11-11,29.092501,29.355000,28.802500,29.027500,26.728374,180872000
2015-11-12,29.065001,29.205000,28.912500,28.930000,26.638597,130102400
2015-11-13,28.799999,28.892500,28.067499,28.084999,25.860525,183249600
2015-11-16,27.844999,28.559999,27.750000,28.545000,26.284088,152426800
2015-11-17,28.730000,28.762501,28.330000,28.422501,26.171295,110467600
2015-11-18,28.940001,29.372499,28.875000,29.322500,27.000008,186698800
2015-11-19,29.410000,29.937500,29.190001,29.695000,27.343004,173183200
2015-11-20,29.799999,29.980000,29.712500,29.825001,27.462709,137148400
2015-11-23,29.817499,29.932501,29.334999,29.437500,27.105900,129930000
2015-11-24,29.332500,29.837500,29.280001,29.719999,27.366032,171212800
2015-11-25,29.802500,29.807501,29.480000,29.507500,27.170353,85553200
2015-11-27,29.572500,29.602501,29.400000,29.452499,27.119713,52185600
2015-11-30,29.497499,29.852501,29.437500,29.575001,27.232515,156721200
2015-12-01,29.687500,29.702499,29.215000,29.334999,27.011520,139409600
2015-12-02,29.334999,29.527500,29.020000,29.070000,26.767508,133546400
2015-12-03,29.137501,29.197500,28.555000,28.799999,26.518892,166278000
2015-12-04,28.822500,29.812500,28.777500,29.757500,27.400557,231108000
2015-12-07,29.745001,29.965000,29.452499,29.570000,27.227903,128336800
2015-12-08,29.379999,29.650000,29.215000,29.557501,27.216398,137238000
2015-12-09,29.410000,29.422501,28.770000,28.905001,26.615578,185445600
2015-12-10,29.010000,29.235001,28.877501,29.042500,26.742184,116850800
2015-12-11,28.797501,28.847500,28.212500,28.295000,26.053886,187544800
2015-12-14,28.045000,28.170000,27.447500,28.120001,25.892752,257274800
2015-12-15,27.985001,28.200001,27.587500,27.622499,25.434656,213292400
2015-12-16,27.767500,27.997499,27.200001,27.834999,25.630323,224954000
2015-12-17,28.004999,28.062500,27.245001,27.245001,25.087059,179091200
2015-12-18,27.227501,27.379999,26.452499,26.507500,24.407970,385813200
2015-12-21,26.820000,26.842501,26.392500,26.832500,24.707232,190362400
2015-12-22,26.850000,26.930000,26.612499,26.807501,24.684212,131157600
2015-12-23,26.817499,27.212500,26.799999,27.152500,25.001886,130629600
2015-12-24,27.250000,27.250000,26.987499,27.007500,24.868368,54281600
2015-12-28,26.897499,26.922501,26.545000,26.705000,24.589828,106816800
2015-12-29,26.740000,27.357500,26.715000,27.184999,25.031811,123724800
2015-12-30,27.145000,27.174999,26.795000,26.830000,24.704929,100855200
2015-12-31,26.752501,26.757500,26.205000,26.315001,24.230713,163649200
